dataset,source_id,norm_category,raw_category,raw_problem_type,original_number,perturbed_number,changed_start,changed_end,orig_decoded_token,pert_decoded_token,local_context,original_problem,perturbed_problem,judge_label,judge_reason
smt_2025,11,geometry,,['Combinatorics'],4,5,65,66,ex,ex,"The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the e","The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
","The boxes in the expression below are filled with the numbers $3,5,5,6$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
",,
smt_2025,51,algebra,,['Algebra'],8,9,74,75,with,with,"Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{9}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.",,
smt_2025,41,geometry,,['Combinatorics'],2,3,129,130,oreach,oreach,"the complex plane, with lamp $k$ (for $0 \leq k \leq 12$ ) located at $z_{k}=e^{2 \pi i k / 13}$. Lamp $0$ is always on, while lamps $1$ to $12$ are initially tu","There are thirteen lamps arranged in a circle in the complex plane, with lamp $k$ (for $0 \leq k \leq 12$ ) located at $z_{k}=e^{2 \pi i k / 13}$. Lamp $0$ is always on, while lamps $1$ to $12$ are initially turned off. For each $1 \leq r \leq 12$, toggling lamp $r$ will flip it from on to off (and vice versa) and will also flip its
neighbors, excluding lamp $0$ if it is a neighbor. Let $s$ be the sum of the positions $z_{k}$ for lamps which are on. Compute the maximum possible value of $|s|$ over all configurations of switched on lamps reachable by flipping some subset of lamps from the initial state.","There are thirteen lamps arranged in a circle in the complex plane, with lamp $k$ (for $0 \leq k \leq 12$ ) located at $z_{k}=e^{3 \pi i k / 13}$. Lamp $0$ is always on, while lamps $1$ to $12$ are initially turned off. For each $1 \leq r \leq 12$, toggling lamp $r$ will flip it from on to off (and vice versa) and will also flip its
neighbors, excluding lamp $0$ if it is a neighbor. Let $s$ be the sum of the positions $z_{k}$ for lamps which are on. Compute the maximum possible value of $|s|$ over all configurations of switched on lamps reachable by flipping some subset of lamps from the initial state.",,
smt_2025,20,geometry,,['Combinatorics'],4,5,359,360,$,$,"a side which is a diagonal of $s_{1}$ ), and continue similarly with $s_{3}, s_{4}, \ldots$. Let $p\left(s_{n}\right)$ be the probability that square $s_{n}$ sha","Let $s_{0}$ be a square. One diagonal of $s_{0}$ is chosen, and a square $s_{1}$ is drawn with this diagonal as one of its sides. There are four possible such squares $s_{1}$; one is chosen out of these four uniformly at random. Choose $s_{2}$ in the same manner (so that it has a side which is a diagonal of $s_{1}$ ), and continue similarly with $s_{3}, s_{4}, \ldots$. Let $p\left(s_{n}\right)$ be the probability that square $s_{n}$ shares an interior with $s_{0}$ (in other words, the area of their intersection is positive). Compute the value that $p\left(s_{n}\right)$ approaches as $n$ approaches infinity.","Let $s_{0}$ be a square. One diagonal of $s_{0}$ is chosen, and a square $s_{1}$ is drawn with this diagonal as one of its sides. There are four possible such squares $s_{1}$; one is chosen out of these four uniformly at random. Choose $s_{2}$ in the same manner (so that it has a side which is a diagonal of $s_{1}$ ), and continue similarly with $s_{3}, s_{5}, \ldots$. Let $p\left(s_{n}\right)$ be the probability that square $s_{n}$ shares an interior with $s_{0}$ (in other words, the area of their intersection is positive). Compute the value that $p\left(s_{n}\right)$ approaches as $n$ approaches infinity.",,
smt_2025,50,number_theory,,['Algebra'],4,5,203,204,prod,prod,"$S=\left\{2^{F_{2}}, 2^{F_{3}}, \ldots, 2^{F_{27}}, 2^{F_{28}}\right\}=\left\{2,4, \ldots, 2^{196418}, 2^{317811}\right\}$ be a set. If

$$
P=\prod_{x \in S} \pr","The Fibonacci numbers are defined by $F_{1}=F_{2}=1$ and $F_{n}=F_{n-1}+F_{n-2}$ for all positive integers $n \geq 3$. Let $S=\left\{2^{F_{2}}, 2^{F_{3}}, \ldots, 2^{F_{27}}, 2^{F_{28}}\right\}=\left\{2,4, \ldots, 2^{196418}, 2^{317811}\right\}$ be a set. If

$$
P=\prod_{x \in S} \prod_{y \in S} x^{\log_{3} y}
$$
is the product of $x^{\log_{3} y}$ across all ordered pairs of elements ( $x, y$ ) in $S$, including when $x=y$, compute $\sqrt{\log_{2} P}$.","The Fibonacci numbers are defined by $F_{1}=F_{2}=1$ and $F_{n}=F_{n-1}+F_{n-2}$ for all positive integers $n \geq 3$. Let $S=\left\{2^{F_{2}}, 2^{F_{3}}, \ldots, 2^{F_{27}}, 2^{F_{28}}\right\}=\left\{2,5, \ldots, 2^{196418}, 2^{317811}\right\}$ be a set. If

$$
P=\prod_{x \in S} \prod_{y \in S} x^{\log_{3} y}
$$
is the product of $x^{\log_{3} y}$ across all ordered pairs of elements ( $x, y$ ) in $S$, including when $x=y$, compute $\sqrt{\log_{2} P}$.",,
smt_2024,90,geometry,Geometry,[],4,5,63,64,such,such,Points A and B lie on a circle centered at O such that A B = 1 4 . The perpendicular bisector of A B intersects \odot O at point C such that O l,Points A and B lie on a circle centered at O such that A B = 1 4 . The perpendicular bisector of A B intersects \odot O at point C such that O lies in the interior of \triangle A B C and A C = 35\sqrt{2} . Lines B O and A C intersect at point D . Compute the ratio of the area of \triangle D O C to the area of \triangle D B C .,Points A and B lie on a circle centered at O such that A B = 1 5 . The perpendicular bisector of A B intersects \odot O at point C such that O lies in the interior of \triangle A B C and A C = 35\sqrt{2} . Lines B O and A C intersect at point D . Compute the ratio of the area of \triangle D O C to the area of \triangle D B C .,,
smt_2024,35,unknown_general_or_guts,General,[],3,4,46,47,each,each,"Perry bakes a pineapple upside-down cake with 3 slices of pineapple on top , each in the shape of regular dodecagons of side le","Perry bakes a pineapple upside-down cake with 3 slices of pineapple on top , each in the shape of regular dodecagons of side length 1 . The pineapple slices overlap each other as shown in the figure . Compute the length of the cut A B that Perry makes to slice the cake in half.","Perry bakes a pineapple upside-down cake with 4 slices of pineapple on top , each in the shape of regular dodecagons of side length 1 . The pineapple slices overlap each other as shown in the figure . Compute the length of the cut A B that Perry makes to slice the cake in half.",,
smt_2025,42,unknown_general_or_guts,,['Combinatorics'],2,3,73,74,item,item,"Let $S$ be the set of all strings of length $15$ formed from five $1$s, $2$s, and $3$s. Say a string in $S$ is threnodic if:

\begin{itemize}
\item No two","Let $S$ be the set of all strings of length $15$ formed from five $1$s, $2$s, and $3$s. Say a string in $S$ is threnodic if:

\begin{itemize}
\item No two adjacent characters are the same, and
\item Through a sequence of removals of contiguous substrings $123,231$, and $312$, the string can be deleted (note that the intermediate strings can have adjacent equal characters).
\end{itemize}

Compute the number of threnodic strings in $S$.","Let $S$ be the set of all strings of length $15$ formed from five $1$s, $3$s, and $3$s. Say a string in $S$ is threnodic if:

\begin{itemize}
\item No two adjacent characters are the same, and
\item Through a sequence of removals of contiguous substrings $123,231$, and $312$, the string can be deleted (note that the intermediate strings can have adjacent equal characters).
\end{itemize}

Compute the number of threnodic strings in $S$.",,
smt_2025,50,number_theory,,['Algebra'],317811,317812,229,235,product,product,"{3}}, \ldots, 2^{F_{27}}, 2^{F_{28}}\right\}=\left\{2,4, \ldots, 2^{196418}, 2^{317811}\right\}$ be a set. If

$$
P=\prod_{x \in S} \prod_{y \in S} x^{\log_{3} y}
$$
","The Fibonacci numbers are defined by $F_{1}=F_{2}=1$ and $F_{n}=F_{n-1}+F_{n-2}$ for all positive integers $n \geq 3$. Let $S=\left\{2^{F_{2}}, 2^{F_{3}}, \ldots, 2^{F_{27}}, 2^{F_{28}}\right\}=\left\{2,4, \ldots, 2^{196418}, 2^{317811}\right\}$ be a set. If

$$
P=\prod_{x \in S} \prod_{y \in S} x^{\log_{3} y}
$$
is the product of $x^{\log_{3} y}$ across all ordered pairs of elements ( $x, y$ ) in $S$, including when $x=y$, compute $\sqrt{\log_{2} P}$.","The Fibonacci numbers are defined by $F_{1}=F_{2}=1$ and $F_{n}=F_{n-1}+F_{n-2}$ for all positive integers $n \geq 3$. Let $S=\left\{2^{F_{2}}, 2^{F_{3}}, \ldots, 2^{F_{27}}, 2^{F_{28}}\right\}=\left\{2,4, \ldots, 2^{196418}, 2^{317812}\right\}$ be a set. If

$$
P=\prod_{x \in S} \prod_{y \in S} x^{\log_{3} y}
$$
is the product of $x^{\log_{3} y}$ across all ordered pairs of elements ( $x, y$ ) in $S$, including when $x=y$, compute $\sqrt{\log_{2} P}$.",,
smt_2024,51,counting_and_probability,Discrete,[],4,5,94,95,ets,ets,"ng with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + ","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 5 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?",,
smt_2025,25,geometry,,['Geometry'],2,3,46,47,",\",",\","Let $\alpha$ and $\beta$ be two angles in $[0,2 \pi)$, and let $A=(\cos \alpha, \sin \alpha), B=(\cos \beta, \sin \beta)$ and $","Let $\alpha$ and $\beta$ be two angles in $[0,2 \pi)$, and let $A=(\cos \alpha, \sin \alpha), B=(\cos \beta, \sin \beta)$ and $C=$ $(\cos \alpha+\cos \beta, \sin \alpha+\sin \beta)$. If one of the points has coordinates $\left(\frac{32}{25}, \frac{24}{25}\right)$, compute the area of $A B C$.","Let $\alpha$ and $\beta$ be two angles in $[0,3 \pi)$, and let $A=(\cos \alpha, \sin \alpha), B=(\cos \beta, \sin \beta)$ and $C=$ $(\cos \alpha+\cos \beta, \sin \alpha+\sin \beta)$. If one of the points has coordinates $\left(\frac{32}{25}, \frac{24}{25}\right)$, compute the area of $A B C$.",,
smt_2025,20,geometry,,['Combinatorics'],3,4,352,353,aches,aches,"it has a side which is a diagonal of $s_{1}$ ), and continue similarly with $s_{3}, s_{4}, \ldots$. Let $p\left(s_{n}\right)$ be the probability that square $s_{","Let $s_{0}$ be a square. One diagonal of $s_{0}$ is chosen, and a square $s_{1}$ is drawn with this diagonal as one of its sides. There are four possible such squares $s_{1}$; one is chosen out of these four uniformly at random. Choose $s_{2}$ in the same manner (so that it has a side which is a diagonal of $s_{1}$ ), and continue similarly with $s_{3}, s_{4}, \ldots$. Let $p\left(s_{n}\right)$ be the probability that square $s_{n}$ shares an interior with $s_{0}$ (in other words, the area of their intersection is positive). Compute the value that $p\left(s_{n}\right)$ approaches as $n$ approaches infinity.","Let $s_{0}$ be a square. One diagonal of $s_{0}$ is chosen, and a square $s_{1}$ is drawn with this diagonal as one of its sides. There are four possible such squares $s_{1}$; one is chosen out of these four uniformly at random. Choose $s_{2}$ in the same manner (so that it has a side which is a diagonal of $s_{1}$ ), and continue similarly with $s_{4}, s_{4}, \ldots$. Let $p\left(s_{n}\right)$ be the probability that square $s_{n}$ shares an interior with $s_{0}$ (in other words, the area of their intersection is positive). Compute the value that $p\left(s_{n}\right)$ approaches as $n$ approaches infinity.",,
smt_2025,53,algebra,,['Algebra'],4,5,10,11,(x,(x,"Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$","Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20$ times, and let $R(a, b, c)$ be the number of distinct roots over all functions in $S(a, b, c)$. Compute the second smallest possible value of $R(a, b, c)$ as $a, b, c$ range over all reals.","Let $f(x)=5 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20$ times, and let $R(a, b, c)$ be the number of distinct roots over all functions in $S(a, b, c)$. Compute the second smallest possible value of $R(a, b, c)$ as $a, b, c$ range over all reals.",,
smt_2025,27,geometry,,['Geometry'],14,15,87,89,_{,_{,"e $\triangle A_{1} A_{2} A_{3}$ has side lengths $A_{1} A_{2}=13$, $A_{2} A_{3}=14, A_{3} A_{1}=15$. Points $B_{i}$ and $C_{i}$ lie on $\overline{A_{i+1} A_{i+2}}","Triangle $\triangle A_{1} A_{2} A_{3}$ has side lengths $A_{1} A_{2}=13$, $A_{2} A_{3}=14, A_{3} A_{1}=15$. Points $B_{i}$ and $C_{i}$ lie on $\overline{A_{i+1} A_{i+2}}$ such that $\angle B_{i} A_{i} C_{i}=30^{\circ}$ for $1 \leq i \leq 3$, where $A_{4}=A_{1}$ and $A_{5}=A_{2}$. For $1 \leq i \leq 3$, let $D_{i}$ be the intersection of $\overline{A_{i} B_{i}}$ and $\overline{A_{i+1} C_{i+1}}$ and $E_{i}$ the intersection of $\overline{A_{i} C_{i}}$ and $\overline{A_{i+1} B_{i+1}}$, where $A_{4}=$ $A_{1}, B_{4}=B_{1}, C_{4}=C_{1}$. If $D_{1} E_{3} D_{2} E_{1} D_{3} E_{2}$ forms a convex hexagon with an inscribed circle of radius $r$, compute $r$.","Triangle $\triangle A_{1} A_{2} A_{3}$ has side lengths $A_{1} A_{2}=13$, $A_{2} A_{3}=15, A_{3} A_{1}=15$. Points $B_{i}$ and $C_{i}$ lie on $\overline{A_{i+1} A_{i+2}}$ such that $\angle B_{i} A_{i} C_{i}=30^{\circ}$ for $1 \leq i \leq 3$, where $A_{4}=A_{1}$ and $A_{5}=A_{2}$. For $1 \leq i \leq 3$, let $D_{i}$ be the intersection of $\overline{A_{i} B_{i}}$ and $\overline{A_{i+1} C_{i+1}}$ and $E_{i}$ the intersection of $\overline{A_{i} C_{i}}$ and $\overline{A_{i+1} B_{i+1}}$, where $A_{4}=$ $A_{1}, B_{4}=B_{1}, C_{4}=C_{1}$. If $D_{1} E_{3} D_{2} E_{1} D_{3} E_{2}$ forms a convex hexagon with an inscribed circle of radius $r$, compute $r$.",,
smt_2024,37,counting_and_probability,General,[],6,7,79,80,isa,isa,"Nacho is building a sandcastle . Each time he adds a scoop of sand, he has a 5 6 chance that the sandcastle will increase by 1 inch in height. Nacho is a clumsy","Nacho is building a sandcastle . Each time he adds a scoop of sand, he has a 5 6 chance that the sandcastle will increase by 1 inch in height. Nacho is a clumsy engineer , so each time the height doesn’t increase , the sandcastle topples and loses 1 3 of its current height. Suppose Nacho starts his sandcastle at height H . What H should he choose so that after any number of scoops, the expected height of his sandcastle is still H ?","Nacho is building a sandcastle . Each time he adds a scoop of sand, he has a 5 7 chance that the sandcastle will increase by 1 inch in height. Nacho is a clumsy engineer , so each time the height doesn’t increase , the sandcastle topples and loses 1 3 of its current height. Suppose Nacho starts his sandcastle at height H . What H should he choose so that after any number of scoops, the expected height of his sandcastle is still H ?",,
smt_2025,53,algebra,,['Algebra'],3,4,84,85,",h",",h","$f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20","Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20$ times, and let $R(a, b, c)$ be the number of distinct roots over all functions in $S(a, b, c)$. Compute the second smallest possible value of $R(a, b, c)$ as $a, b, c$ range over all reals.","Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $4^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20$ times, and let $R(a, b, c)$ be the number of distinct roots over all functions in $S(a, b, c)$. Compute the second smallest possible value of $R(a, b, c)$ as $a, b, c$ range over all reals.",,
smt_2024,76,unknown_general_or_guts,Guts,[],13,14,450,452,forall,forall," top-right corners of the grid are dorms. St anford Ma th Tournament Guts April 13, 2024 Abby wants to bike from Schiff to Lantana, but does not want to pass thro","Consider the 4 \times 8 grid of points below that represents the Stanford campus. Stanford has developed a way to teleport Main Quad (represented by the rectangle on the lattice) anywhere on campus such that 4 points are contained within the rectangle and none of these points are dorms (the dimensions of Main Quad remain the same as in the figure). The bottom-left and top-right corners of the grid are dorms. St anford Ma th Tournament Guts April 13, 2024 Abby wants to bike from Schiff to Lantana, but does not want to pass through any points in Main Quad. If Abby only moves from one lattice point to another in the up and right directions ( and Main Quad does not move as she bikes), compute the sum of the number of paths she can take for all possible positions of Main Quad.","Consider the 4 \times 8 grid of points below that represents the Stanford campus. Stanford has developed a way to teleport Main Quad (represented by the rectangle on the lattice) anywhere on campus such that 4 points are contained within the rectangle and none of these points are dorms (the dimensions of Main Quad remain the same as in the figure). The bottom-left and top-right corners of the grid are dorms. St anford Ma th Tournament Guts April 14, 2024 Abby wants to bike from Schiff to Lantana, but does not want to pass through any points in Main Quad. If Abby only moves from one lattice point to another in the up and right directions ( and Main Quad does not move as she bikes), compute the sum of the number of paths she can take for all possible positions of Main Quad.",,
smt_2024,51,counting_and_probability,Discrete,[],3,4,90,91,",t",",t","laying with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a ","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 4 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?",,
smt_2025,51,algebra,,['Algebra'],-1,-2,116,118,that,that,"mbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ make","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-2=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.",,
smt_2024,62,geometry,Guts,[],2,3,194,195,April,April," and F are chosen on line segments B C , C A , and A B such that \angle F C A = 2 \angle E B C = 4 \angle D A B . Line A D meets C F at X and B E at Y . Given th","Kat told Viktor that equilateral triangles make better sandcastles. In equilateral triangle A B C , points D , E , and F are chosen on line segments B C , C A , and A B such that \angle F C A = 2 \angle E B C = 4 \angle D A B . Line A D meets C F at X and B E at Y . Given that the four points C , E , X , Y are concyclic, compute \angle F C A . St anford Ma th Tournament Guts April 13, 2024","Kat told Viktor that equilateral triangles make better sandcastles. In equilateral triangle A B C , points D , E , and F are chosen on line segments B C , C A , and A B such that \angle F C A = 3 \angle E B C = 4 \angle D A B . Line A D meets C F at X and B E at Y . Given that the four points C , E , X , Y are concyclic, compute \angle F C A . St anford Ma th Tournament Guts April 13, 2024",,
smt_2025,23,geometry,,['Geometry'],40,41,86,88,angent,angent,"Omega$ be a circle. Draw two radii $r_{1}$ and $r_{2}$ of $\Omega$ that form a $40^{\circ}$ angle, and let $\omega$ be a circle which is tangent to both of these ","Let $\Omega$ be a circle. Draw two radii $r_{1}$ and $r_{2}$ of $\Omega$ that form a $40^{\circ}$ angle, and let $\omega$ be a circle which is tangent to both of these radii and internally tangent to $\Omega$. Let $\omega$ be tangent to $\Omega$ and $r_{1}$ at $A$ and $B$, respectively, and let $r_{1}$ meet $\Omega$ at $C$. Compute $\angle A B C$.
","Let $\Omega$ be a circle. Draw two radii $r_{1}$ and $r_{2}$ of $\Omega$ that form a $41^{\circ}$ angle, and let $\omega$ be a circle which is tangent to both of these radii and internally tangent to $\Omega$. Let $\omega$ be tangent to $\Omega$ and $r_{1}$ at $A$ and $B$, respectively, and let $r_{1}$ meet $\Omega$ at $C$. Compute $\angle A B C$.
",,
smt_2025,3,algebra,,['Algebra'],-4,-5,105,107,+c,+c,"b, c$, define the cubic polynomials

$$
\begin{aligned}
& A(x)=a x^{3}+a b x^{2}-4 x-c \\
& B(x)=b x^{3}+b c x^{2}-6 x-a \\
& C(x)=c x^{3}+c a x^{2}-9 x-b
\end{al","Given real constants $a, b, c$, define the cubic polynomials

$$
\begin{aligned}
& A(x)=a x^{3}+a b x^{2}-4 x-c \\
& B(x)=b x^{3}+b c x^{2}-6 x-a \\
& C(x)=c x^{3}+c a x^{2}-9 x-b
\end{aligned}
$$

Given that $A, B$, and $C$ have local extrema at $b, c$, and $a$, respectively, compute $a b c$. (A local extremum is either a local maximum or a local minimum.)","Given real constants $a, b, c$, define the cubic polynomials

$$
\begin{aligned}
& A(x)=a x^{3}+a b x^{2}-5 x-c \\
& B(x)=b x^{3}+b c x^{2}-6 x-a \\
& C(x)=c x^{3}+c a x^{2}-9 x-b
\end{aligned}
$$

Given that $A, B$, and $C$ have local extrema at $b, c$, and $a$, respectively, compute $a b c$. (A local extremum is either a local maximum or a local minimum.)",,
smt_2025,11,geometry,,['Combinatorics'],7,8,78,79,the,the,"The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the expression is ","The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
","The boxes in the expression below are filled with the numbers $3,4,5,6$, and $8$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
",,
smt_2024,78,algebra,Guts,[],5,6,160,161,possible,possible,", N } → { 2 , 3 , . . . , N } be any function such that there are exactly N + 1 5 ordered pair solutions to the equation f ( x ) − f ( y ) = 0 . Suppose F is the","Let R be the answer to problem 22 and set N = 100 + R . Let f : { 2 , 3 , . . . , N } → { 2 , 3 , . . . , N } be any function such that there are exactly N + 1 5 ordered pair solutions to the equation f ( x ) − f ( y ) = 0 . Suppose F is the collection of these functions f which maximize \log_2 f(2) \log_3 f(3) \cdots \log_N f(N) . Over all f \in F , compute the maximum possible value of \sum_{i=2}^N (f(i) - i) .","Let R be the answer to problem 22 and set N = 100 + R . Let f : { 2 , 3 , . . . , N } → { 2 , 3 , . . . , N } be any function such that there are exactly N + 1 6 ordered pair solutions to the equation f ( x ) − f ( y ) = 0 . Suppose F is the collection of these functions f which maximize \log_2 f(2) \log_3 f(3) \cdots \log_N f(N) . Over all f \in F , compute the maximum possible value of \sum_{i=2}^N (f(i) - i) .",,
smt_2025,53,algebra,,['Algebra'],9,10,40,41,beth,beth,"Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possi","Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=9 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20$ times, and let $R(a, b, c)$ be the number of distinct roots over all functions in $S(a, b, c)$. Compute the second smallest possible value of $R(a, b, c)$ as $a, b, c$ range over all reals.","Let $f(x)=4 x+a, g(x)=6 x+b$, and $h(x)=10 x+c$. Let $S(a, b, c)$ be the set of the $3^{20}$ functions formed by all possible compositions of $f, g, h$ a total of $20$ times, and let $R(a, b, c)$ be the number of distinct roots over all functions in $S(a, b, c)$. Compute the second smallest possible value of $R(a, b, c)$ as $a, b, c$ range over all reals.",,
smt_2025,47,algebra,,['Algebra'],24,25,76,78,(R,(R,Compute the sum of the real roots of $\left(x^{2}+16 x+48\right)\left(x^{2}+24 x+128\right)=44^{2^{2025}}$. (Roots are counted with multiplicity.),Compute the sum of the real roots of $\left(x^{2}+16 x+48\right)\left(x^{2}+24 x+128\right)=44^{2^{2025}}$. (Roots are counted with multiplicity.),Compute the sum of the real roots of $\left(x^{2}+16 x+48\right)\left(x^{2}+25 x+128\right)=44^{2^{2025}}$. (Roots are counted with multiplicity.),,
